serial,ecm_name,software_part_number,flash_file,release_date,file_size,latest_available,service_file_id
MT500135,ADVISOR,,6618140.FL2,2025-12-01T00:54:28.238Z,1339490.0,Y,45167554.0
MT500135,CHASSIS,,6618134.FL2,2025-12-01T00:47:50.010Z,794171.0,Y,42032764.0
MT500135,ENGINE,,6665593.FL2,2025-11-19T06:09:03.304Z,1476622.0,Y,41485259.0
MT500135,IBC,,6618132.FL2,2025-12-01T00:40:51.091Z,924380.0,Y,42032762.0
MT500135,POWERTRAIN,,6615874.FL2,2025-11-21T11:27:48.280Z,1001756.0,Y,45167557.0
MT500135,Propulsion Module,,6351177.FL2,2024-01-09T11:42:55.097Z,1685708.0,Y,34156394.0
MT500135,Propulsion Module,,6618138.FL2,2025-12-01T10:00:36.639Z,1732212.0,Y,42032765.0
MT500135,VIMS A4:N4 Main,,6105923.FL2,2021-03-26T06:43:44.590Z,3045525.0,Y,25863853.0
MT500135,VIMS A4:N4 Main,,6325814.CFG,2023-10-31T13:10:31.359Z,386932.0,Y,32819526.0
MT500135,VIMS Application,,6033405.FL2,2021-03-26T06:45:03.744Z,2625863.0,Y,25348627.0
MT500135,VIMS Application,,6033409.CFG,2021-03-26T06:31:32.964Z,30410.0,Y,25825019.0
MT500136,ADVISOR,,6618140.FL2,2025-12-01T00:54:28.238Z,1339490.0,Y,45167554.0
MT500136,CHASSIS,,6618134.FL2,2025-12-01T00:47:50.010Z,794171.0,Y,42032764.0
MT500136,ENGINE,,6665593.FL2,2025-11-19T06:09:03.304Z,1476622.0,Y,41485259.0
MT500136,IBC,,6618132.FL2,2025-12-01T00:40:51.091Z,924380.0,Y,42032762.0
MT500136,POWERTRAIN,,6615874.FL2,2025-11-21T11:27:48.280Z,1001756.0,Y,45167557.0
MT500136,Propulsion Module,,6618138.FL2,2025-12-01T10:00:36.639Z,1732212.0,Y,42032765.0
MT500136,VIMS A4:N4 Main,,6105923.FL2,2021-03-26T06:43:44.590Z,3045525.0,Y,25863853.0
MT500136,VIMS A4:N4 Main,,6325814.CFG,2023-10-31T13:10:31.359Z,386932.0,Y,32819526.0
MT500136,VIMS Application,,6033405.FL2,2021-03-26T06:45:03.744Z,2625863.0,Y,25348627.0
